bs,lat,lon,type,fog
101,13.055358305555556,111.11925777777779,rrh,100
102,13.053805140740739,111.12117781481483,rrh,100
103,13.053805795833332,111.11842133333333,rrh,100
111,13.118675733333331,110.964874,rrh,110
112,13.116347147058823,110.963247,rrh,110
113,13.118452659999999,110.96378180000002,rrh,110
121,13.16418737837838,111.10805243243246,rrh,120
122,13.162023665116278,111.10530839534884,rrh,120
123,13.161860966666667,111.10664573333332,rrh,120
131,13.055846049999998,110.96724187500001,rrh,130
132,13.059893381818183,110.96709690909091,rrh,130
133,13.063337166666667,110.96999433333333,rrh,130
141,13.220355274285712,111.0933009142857,rrh,140
142,13.220100887804877,111.09285870731706,rrh,140
143,13.220263942857141,111.09324657142858,rrh,140
151,13.105398815000004,111.04155700000001,rrh,150
152,13.103924431818182,111.0396827272727,rrh,150
153,13.105586860869565,111.03894899999997,rrh,150
161,13.118105672727273,111.08575948484847,rrh,160
162,13.11805821090909,111.0866611818182,rrh,160
163,13.11792348181818,111.08547103636366,rrh,160
171,13.185539562162162,111.0577874054054,rrh,170
172,13.1842880375,111.05754137499999,rrh,170
173,13.184625674999998,111.05651971875,rrh,170
181,13.25566185,110.96162864285714,rrh,180
182,13.255560814285715,110.95930299999999,rrh,180
183,13.2572712875,110.959959125,rrh,180
191,13.237775300000001,111.07545707142856,rrh,190
192,13.240705499999999,111.07649763157896,rrh,190
193,13.24182391818182,111.0722949090909,rrh,190
201,13.042150445454546,111.00336390909091,rrh,200
202,13.039660061904762,111.0051034285714,rrh,200
203,13.039243784,111.00504448,rrh,200
211,13.15801145882353,111.00406300000002,rrh,210
212,13.15923362222222,111.00340441666665,rrh,210
213,13.159246133333331,111.0031812051282,rrh,210
221,13.096331016279068,111.08118327906978,rrh,220
222,13.097947764912279,111.0808438245614,rrh,220
223,13.09946283846154,111.0801988974359,rrh,220
231,13.202842767567567,111.10271016216215,rrh,230
232,13.202219368292678,111.1000672682927,rrh,230
233,13.201618833333335,111.10214845833333,rrh,230
241,13.15914259756098,111.1413116097561,rrh,240
242,13.159248226470588,111.14399852941179,rrh,240
243,13.157923324999999,111.14258716666666,rrh,240
251,13.157209058695653,111.05659239130433,rrh,250
252,13.156658358730157,111.0577154920635,rrh,250
253,13.157046585416671,111.05664822916663,rrh,250
261,13.169362406249997,111.07677252083333,rrh,260
