from,to,distance
70,71,0.06566181829932102
70,72,0.13596642288906188
70,73,0.10730329650008683
70,99300,24.949425302142856
80,10,9.252241333488337
80,40,6.114896041845932
80,70,8.534871123906763
80,80,0.0
80,110,11.536973146028966
80,120,11.429984628835047
80,140,8.764935353971445
80,150,12.040298841383704
80,170,5.569227075490778
80,180,7.632750187214793
80,190,7.525439501252543
80,210,5.772015402413987
80,230,9.637196168423518
80,250,7.595354238448995
80,260,8.262091623796525
80,290,3.6671411334801904
80,310,4.131007138670034
80,320,10.476185336220574
80,340,11.761117341547754
80,360,10.758321525497061
80,380,2.2196152621026233
80,390,10.210957563046712
80,450,8.854538496781222
80,480,7.331442062928616
80,490,6.8191376963713415
80,520,9.761805291405013
80,540,9.95501963408416
80,550,12.112683258429888
80,560,4.6887920015132485
80,570,2.4139451137902457
80,580,4.170784617278324
80,590,5.431749072886636
80,620,10.758877098099065
80,630,2.6836237173794752
80,650,10.027623859724644
80,670,4.91499335264635
80,690,11.902410944007885
80,700,8.988611620936359
80,730,3.5215562831086937
80,740,7.203038878466926
80,750,10.1588343601717
80,760,6.546381713601765
80,780,8.2224556541303
80,790,6.677281395484389
80,810,11.668347067698809
80,820,7.220887716882122
80,830,10.554370629180964
80,840,5.780202423930397
80,860,8.76041298195602
80,900,8.058045379825883
80,930,5.8590663665266804
80,950,1.8087470821172587
80,960,4.368108437720094
80,990,12.52694282834258
80,81,0.22988679664144968
80,82,0.18177526651431766
80,83,0.12996635623071218
80,99300,29.441460783991385
90,0,10.941706202679677
90,30,8.427185450474553
90,90,0.0
90,240,11.387612370684355
90,280,6.002963132498533
90,370,2.8093026769117815
90,410,2.935267003948073
90,500,12.081818500490526
90,600,3.2140534201530797
90,640,8.57770141475159
90,720,11.871030578677436
90,770,9.275886332354657
90,850,10.695574029938482
90,880,12.138917413111143
90,980,4.068676305531096
90,91,0.03941414206616505
90,92,0.09183350969127915
90,93,0.03904550399653174
90,99300,17.71322806897717
